#Дата учета;Код бумаги;Наименование;Эмитент;ISIN;Рег. номер;Дата начала размещения
2020-05-08;RU000A0JXPT5;САМАРАТРАНСНЕФТЬ-ТЕРМИНАЛ об.3;Общество с ограниченной ответственностью "САМАРАТРАНСНЕФТЬ-ТЕРМИНАЛ";RU000A0JXPT5;4-03-36502-R;2017-04-27
2020-05-08;RU000A0JXPU3;Концерн Калашников БО-П01;Акционерное общество "Концерн "Калашников";RU000A0JXPU3;4B02-01-57320-D-001P;2017-04-27
2020-05-08;RU000A0JXQ28;ФедералПассажирКомпан 001P-01;Акционерное общество "Федеральная пассажирская компания";RU000A0JXQ28;4B02-01-55465-E-001P;2017-04-27
2020-05-08;RU000A0JXQ44;"Российские ЖД" БО-001P-02R;Открытое акционерное общество "Российские железные дороги";RU000A0JXQ44;4B02-02-65045-D-001P;2017-04-27
2020-05-08;RU000A0JXQ51;АВТОБАН-Финанс АО БО-П01;Акционерное общество "АВТОБАН-Финанс";RU000A0JXQ51;4B02-01-82416-H-001P;2017-04-28
2020-05-08;RU000A0JXQ85;АО "Тинькофф Банк" БО-001P-01R;Акционерное общество "Тинькофф Банк";RU000A0JXQ85;4B020102673B001P;2017-04-28
2020-05-08;RU000A0JXQ93;ГК ПИК (ПАО) БО-П02;Публичное акционерное общество "Группа Компаний ПИК";RU000A0JXQ93;4B02-02-01556-A-001P;2017-04-28
2020-05-08;RU000A0JXQD7;Транснефть ПАО БО-001P-07;Публичное акционерное общество "Транснефть";RU000A0JXQD7;4B02-07-00206-A-001P;2017-05-03
2020-05-08;RU000A0JXQH8;"О'КЕЙ" ООО БО-001Р-01;Общество с ограниченной ответственностью "О'КЕЙ";RU000A0JXQH8;4B02-01-36415-R-001P;2017-05-04
2020-05-08;RU000A0JXQJ4;АО "ЭР-Телеком Холдинг" ПБО-03;Акционерное общество "ЭР-Телеком Холдинг";RU000A0JXQJ4;4B02-03-53015-K-001P;2017-05-04
2020-05-08;RU000A0JXQK2;ПАО НК Роснефть 001P-04;Публичное акционерное общество "Нефтяная компания "Роснефть";RU000A0JXQK2;4B02-04-00122-A-001P;2017-05-04
2020-05-08;RU000A0JXQQ9;ООО АРАГОН об.;Общество с ограниченной ответственностью "АРАГОН";RU000A0JXQQ9;4-01-00350-R;2017-05-10
2020-05-08;RU000A0JXQX5;Альфа-Банк АО обл. БО-19;АКЦИОНЕРНОЕ ОБЩЕСТВО "АЛЬФА-БАНК";RU000A0JXQX5;4B021901326B;2017-05-12
2020-05-08;RU000A0JXR50;ПАО "МОЭСК" БО-10;Публичное акционерное  общество "Московская объединенная электросетевая компания";RU000A0JXR50;4B02-10-65116-D;2017-05-18
2020-05-08;RU000A0JXR84;"Российские ЖД" БО-001P-03R;Открытое акционерное общество "Российские железные дороги";RU000A0JXR84;4B02-03-65045-D-001P;2017-05-18
2020-05-08;RU000A0JXRD5;Почта России (АО) БО-001P-02;акционерное общество "Почта России";RU000A0JXRD5;4B02-02-00005-T-001P;2017-05-23
2020-05-08;RU000A0JXRF0;Группа компаний Самолет БО-П01;публичное акционерное общество "Группа компаний "Самолет";RU000A0JXRF0;4B02-01-36522-R-001P;2017-05-23
2020-05-08;RU000A0JXRN4;ЕвроХим МХК АО БО-001Р-02;Акционерное общество "Минерально-химическая компания "ЕвроХим";RU000A0JXRN4;4B02-02-31153-H-001P;2017-05-26
2020-05-08;RU000A0JXRS3;ИКС 5 ФИНАНС 001P-02;Общество с ограниченной ответственностью "ИКС 5 ФИНАНС";RU000A0JXRS3;4B02-02-36241-R-001P;2017-05-26
2020-05-08;RU000A0JXRV7;Альфа-Банк АО обл. БО-20;АКЦИОНЕРНОЕ ОБЩЕСТВО "АЛЬФА-БАНК";RU000A0JXRV7;4B022001326B;2017-05-30
2020-05-08;RU000A0JXRW5;Сбербанк ПАО БО-19;Публичное акционерное общество "Сбербанк России";RU000A0JXRW5;4B021901481B;2017-05-30
2020-05-08;RU000A0JXRX3;Лента ООО БО-001P-01;Общество с ограниченной ответственностью "Лента";RU000A0JXRX3;4B02-01-36420-R-001P;2017-05-30
2020-05-08;RU000A0JXS26;ДОМ РФ ИА 02;Общество с ограниченной ответственностью "ДОМ.РФ Ипотечный агент";RU000A0JXS26;4-02-00307-R-001P;2017-05-31
2020-05-08;RU000A0JXS34;КТЖ Финанс ООО об.01;Общество с ограниченной ответственностью "КТЖ Финанс";RU000A0JXS34;4-01-00332-R;2017-06-13
2020-05-08;RU000A0JXS59;Почта России (АО) БО-001P-03;акционерное общество "Почта России";RU000A0JXS59;4B02-03-00005-T-001P;2017-05-31
2020-05-08;RU000A0JXS75;Уралкалий ПАО ПБО-03-P;Публичное акционерное общество "Уралкалий";RU000A0JXS75;4B02-03-00296-A-001P;2017-05-31
2020-05-08;RU000A0JXSF8;"Трубная Мет.Комп." ПАО БО-07;Публичное акционерное общество "Трубная Металлургическая Компания";RU000A0JXSF8;4B02-07-29031-H;2017-06-02
2020-05-08;RU000A0JXSS1;Акрон (ПАО) БО-001P-02;Публичное акционерное общество "Акрон";RU000A0JXSS1;4B02-02-00207-A-001P;2017-06-06
2020-05-08;RU000A0JXT17;Балтийский лизинг ООО БО-П01;общество с ограниченной ответственностью "Балтийский лизинг";RU000A0JXT17;4B02-01-36442-R-001P;2017-06-08
2020-05-08;RU000A0JXTB5;Белуга Групп ПАО БО-П01;Публичное акционерное общество "Белуга Групп";RU000A0JXTB5;4B02-01-55052-E-001P;2017-06-13
2020-05-08;RU000A0JXTF6;ГПБ (АО) БО-13;"Газпромбанк" (Акционерное общество);RU000A0JXTF6;4B021300354B;2017-06-14
2020-05-08;RU000A0JXTG4;Открытие Холдинг АО обл.БО-П01;Акционерное общество "Открытие Холдинг";RU000A0JXTG4;4B02-01-14406-A-001P;2017-06-14
2020-05-08;RU000A0JXTH2;Каркаде ООО БО-03;Общество с ограниченной ответственностью "Каркаде";RU000A0JXTH2;4B02-03-36324-R;2017-06-14
2020-05-08;RU000A0JXTN0;ПАО ОТКРЫТИЕ ФК Банк БО-П3;Публичное акционерное общество Банк "Финансовая Корпорация Открытие";RU000A0JXTN0;4B020300323B001P;2017-06-15
2020-05-08;RU000A0JXTQ3;РусГидро (ПАО) БО-П05;Публичное акционерное общество "Федеральная гидрогенерирующая компания - РусГидро";RU000A0JXTQ3;4B02-05-55038-E-001P;2017-06-16
2020-05-08;RU000A0JXTY7;ПАО ЧТПЗ 001P-04;Публичное акционерное общество "Челябинский трубопрокатный завод";RU000A0JXTY7;4B02-04-00182-A-001P;2017-06-20
2020-05-08;RU000A0JXU71;ВЭБ.РФ ПБО-001Р-09;государственная корпорация развития "ВЭБ.РФ";RU000A0JXU71;4B02-09-00004-T-001P;2017-06-23
2020-05-08;RU000A0JXUC1;"Россельхозбанк" (АО) БО-02P;Акционерное общество "Российский Сельскохозяйственный банк";RU000A0JXUC1;4B020203349B001P;2017-06-26
2020-05-08;RU000A0JXUH0;РОСБАНК ПАО обл. БО-002P-02;Публичное акционерное общество РОСБАНК;RU000A0JXUH0;4B020102272B002P;2017-06-28
2020-05-08;RU000A0JXUU3;"ВОЛГА Капитал" ПАО ПБО-01;Публичное акционерное общество "ВОЛГА Капитал";RU000A0JXUU3;4B02-01-15790-A-001P;2017-07-03
2020-05-08;RU000A0JXVE5;СвязьИнвНефХим-Фин БО-001Р-01;Общество с ограниченной ответственностью "Связьинвестнефтехим-Финанс";RU000A0JXVE5;4B02-01-00325-R-001P;2017-07-11
2020-05-08;RU000A0JXVG0;ДелоПортс ООО БО 001P-01;Общество с ограниченной ответственностью "ДелоПортс";RU000A0JXVG0;4B02-01-36485-R-001P;2017-07-11
2020-05-08;RU000A0JXVM8;Российские сети ПАО БО-001Р-01;Публичное акционерное общество "Российские сети";RU000A0JXVM8;4B02-01-55385-E-001P;2017-07-13
2020-05-08;RU000A0JXW87;ИК МБС ООО БО-01;Общество с ограниченной ответственностью Инвестиционная компания МультиБотСистемс;RU000A0JXW87;4B02-01-00179-R;2017-07-21
2020-05-08;RU000A0JXXD3;ПАО НК Роснефть 001P-06;Публичное акционерное общество "Нефтяная компания "Роснефть";RU000A0JXXD3;4B02-06-00122-A-001P;2017-07-26
2020-05-08;RU000A0JXY44;ГК ПИК (ПАО) БО-П03;Публичное акционерное общество "Группа Компаний ПИК";RU000A0JXY44;4B02-03-01556-A-001P;2017-08-04
2020-05-08;RU000A0JXZB2;"Российские ЖД" БО-001P-04R;Открытое акционерное общество "Российские железные дороги";RU000A0JXZB2;4B02-04-65045-D-001P;2017-08-17
2020-05-08;RU000A0ZYA66;АО ЭталонЛенСпецСМУ БО-001P-02;Акционерное общество "Эталон ЛенСпецСМУ";RU000A0ZYA66;4B02-02-17644-J-001P;2017-09-15
2020-05-08;RU000A0ZYA74;РСГ-Финанс ООО обл. БО-3;Общество с ограниченной ответственностью "РСГ-Финанс";RU000A0ZYA74;4B02-03-36399-R;2017-09-15
2020-05-08;RU000A0ZYAE3;ГПБ (АО) БО-14;"Газпромбанк" (Акционерное общество);RU000A0ZYAE3;4B021400354B;2017-09-19
2020-05-08;RU000A0ZYAP9;ГосТранспортЛизингКомп 001P-06;публичное акционерное общество "Государственная транспортная лизинговая компания";RU000A0ZYAP9;4B02-06-32432-H-001P;2017-09-20
2020-05-08;RU000A0ZYAQ7;КарМани БО-1-1;Общество с ограниченной ответственностью Микрофинансовая компания "КарМани";RU000A0ZYAQ7;4B02-01-00321-R-001P;2017-09-21
2020-05-08;RU000A0ZYAR5;ДОМ.РФ (АО) БО-09;Акционерное общество "ДОМ.РФ";RU000A0ZYAR5;4B02-09-00739-A;2017-09-21
2020-05-08;RU000A0ZYB73;ГПБ (АО) БО-24;"Газпромбанк" (Акционерное общество);RU000A0ZYB73;4B022400354B;2017-09-26
2020-05-08;RU000A0ZYBG6;РОСБАНК ПАО обл. БО-001P-01;Публичное акционерное общество РОСБАНК;RU000A0ZYBG6;4B020103338B001P;2017-09-28
2020-05-08;RU000A0ZYBM4;Альфа-Банк АО обл. БО-21;АКЦИОНЕРНОЕ ОБЩЕСТВО "АЛЬФА-БАНК";RU000A0ZYBM4;4B022101326B;2017-10-02
