#Дата учета;Код бумаги;Наименование;Эмитент;ISIN;Рег. номер;Дата начала размещения
2020-05-08;RU000A0ZYT40;ПАО НК Роснефть 002P-04;Публичное акционерное общество "Нефтяная компания "Роснефть";RU000A0ZYT40;4B02-04-00122-A-002P;2018-02-15
2020-05-08;RU000A0ZYTM6;МегаФон ПАО БО-001P-04;Публичное акционерное общество "МегаФон";RU000A0ZYTM6;4B02-04-00822-J-001P;2018-02-19
2020-05-08;RU000A0ZYTZ8;НПК АО ПБО-01;Акционерное общество "Новая перевозочная компания";RU000A0ZYTZ8;4B02-01-08551-A-001P;2018-02-20
2020-05-08;RU000A0ZYU05;РЖД БО 001Р-05R;Открытое акционерное общество "Российские железные дороги";RU000A0ZYU05;4B02-05-65045-D-001P;2018-02-20
2020-05-08;RU000A0ZYU21;АЛЬФА-БАНК АО БО-40;АКЦИОНЕРНОЕ ОБЩЕСТВО "АЛЬФА-БАНК";RU000A0ZYU21;4B024001326B;2018-02-21
2020-05-08;RU000A0ZYU39;Лидер-Инвест АО БО-П02;Акционерное общество "Лидер-Инвест";RU000A0ZYU39;4B02-02-55338-H-001P;2018-02-21
2020-05-08;RU000A0ZYU54;Держава-Платформа БО-01Р-01;Общество с ограниченной ответственностью "Держава-Платформа";RU000A0ZYU54;4B02-01-00366-R-001P;2018-02-21
2020-05-08;RU000A0ZYUJ0;Сбербанк БО 001Р-04R;Публичное акционерное общество "Сбербанк России";RU000A0ZYUJ0;4B020401481B001P;2018-03-02
2020-05-08;RU000A0ZYUS1;Транснефть ПАО БО-001P-09;Публичное акционерное общество "Транснефть";RU000A0ZYUS1;4B02-09-00206-A-001P;2018-02-26
2020-05-08;RU000A0ZYUV5;Газпром капитал ООО БО-01;Общество с ограниченной ответственностью "Газпром капитал";RU000A0ZYUV5;4B02-01-36400-R;2018-02-27
2020-05-08;RU000A0ZYUW3;Газпром капитал ООО БО-02;Общество с ограниченной ответственностью "Газпром капитал";RU000A0ZYUW3;4B02-02-36400-R;2018-02-27
2020-05-08;RU000A0ZYUY9;Газпром капитал ООО БО-03;Общество с ограниченной ответственностью "Газпром капитал";RU000A0ZYUY9;4B02-03-36400-R;2018-02-27
2020-05-08;RU000A0ZYV04;Газпром капитал ООО БО-04;Общество с ограниченной ответственностью "Газпром капитал";RU000A0ZYV04;4B02-04-36400-R;2018-02-27
2020-05-08;RU000A0ZYVU5;ПАО НК Роснефть 002P-05;Публичное акционерное общество "Нефтяная компания "Роснефть";RU000A0ZYVU5;4B02-05-00122-A-002P;2018-03-02
2020-05-08;RU000A0ZYVY7;ДОК-15 ООО БО-01;Общество с ограниченной ответственностью "ДОК-15";RU000A0ZYVY7;4B02-01-36489-R;2018-03-05
2020-05-08;RU000A0ZYWB3;АЛЬФА-БАНК АО БО-39;АКЦИОНЕРНОЕ ОБЩЕСТВО "АЛЬФА-БАНК";RU000A0ZYWB3;4B023901326B;2018-03-06
2020-05-08;RU000A0ZYWU3;АФК Система БО 001P-08;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "АКЦИОНЕРНАЯ ФИНАНСОВАЯ КОРПОРАЦИЯ "СИСТЕМА";RU000A0ZYWU3;4B02-08-01669-A-001P;2018-03-07
2020-05-08;RU000A0ZYWX7;Мобильные ТелеСистемы 001P-05;Публичное акционерное общество "Мобильные ТелеСистемы";RU000A0ZYWX7;4B02-05-04715-A-001P;2018-03-07
2020-05-08;RU000A0ZYWY5;Мобильные ТелеСистемы 001P-06;Публичное акционерное общество "Мобильные ТелеСистемы";RU000A0ZYWY5;4B02-06-04715-A-001P;2018-03-07
2020-05-08;RU000A0ZYX69;Федерал пассажир комп 001Р-03;Акционерное общество "Федеральная пассажирская компания";RU000A0ZYX69;4B02-03-55465-E-001P;2018-03-07
2020-05-08;RU000A0ZYXJ4;Россельхозбанк АО БО-05Р;Акционерное общество "Российский Сельскохозяйственный банк";RU000A0ZYXJ4;4B020503349B001P;2018-03-14
2020-05-08;RU000A0ZYXV9;Газпром нефть БО 001Р-06R;Публичное акционерное общество "Газпром нефть";RU000A0ZYXV9;4B02-06-00146-A-001P;2018-03-15
2020-05-08;RU000A0ZYYE3;Ростелеком ПАО 001P-04R;Публичное акционерное общество "Ростелеком";RU000A0ZYYE3;4B02-04-00124-A-001P;2018-03-16
2020-05-08;RU000A0ZZ083;ИКС 5 ФИНАНС 001P-03;Общество с ограниченной ответственностью "ИКС 5 ФИНАНС";RU000A0ZZ083;4B02-03-36241-R-001P;2018-03-27
2020-05-08;RU000A0ZZ0D3;ДиректЛизинг ООО БО-001P-02;Общество с ограниченной ответственностью "ДиректЛизинг";RU000A0ZZ0D3;4B02-02-00308-R-001P;2018-03-29
2020-05-08;RU000A0ZZ0L6;Элемент Лизинг БО 001P-01;Общество с ограниченной ответственностью "Элемент Лизинг";RU000A0ZZ0L6;4B02-01-36193-R-001P;2018-03-30
2020-05-08;RU000A0ZZ0Z6;Сбербанк ПАО БCО 001P-05R;Публичное акционерное общество "Сбербанк России";RU000A0ZZ0Z6;4B020501481B001P;2018-04-13
2020-05-08;RU000A0ZZ117;Сбербанк ПАО БО 001Р-06R;Публичное акционерное общество "Сбербанк России";RU000A0ZZ117;4B020601481B001P;2018-05-25
2020-05-08;RU000A0ZZ1F6;КарМани БО-1-2;Общество с ограниченной ответственностью Микрофинансовая компания "КарМани";RU000A0ZZ1F6;4B02-02-00321-R-001P;2018-04-06
2020-05-08;RU000A0ZZ1H2;ОГК-2 ПАО БО 001P-03R;Публичное акционерное общество "Вторая генерирующая компания оптового рынка электроэнергии";RU000A0ZZ1H2;4B02-03-65105-D-001P;2018-04-06
2020-05-08;RU000A0ZZ1J8;ГТЛК БО 001P-09;публичное акционерное общество "Государственная транспортная лизинговая компания";RU000A0ZZ1J8;4B02-09-32432-H-001P;2018-04-06
2020-05-08;RU000A0ZZ1N0;ДОМ.РФ АО 001Р-03R;Акционерное общество "ДОМ.РФ";RU000A0ZZ1N0;4B02-03-00739-A-001P;2018-04-06
2020-05-08;RU000A0ZZ1Y7;МРСК Центра ПАО БО-06;Публичное акционерное общество "Межрегиональная распределительная сетевая компания Центра";RU000A0ZZ1Y7;4B02-06-10214-A;2018-04-10
2020-05-08;RU000A0ZZ2U3;Центр-инвест ПАО БО-001P-04;Публичное акционерное общество коммерческий банк "Центр-инвест";RU000A0ZZ2U3;4B020402225B001P;2018-04-12
2020-05-08;RU000A0ZZ2W9;Управление отходами АО БО-02;Акционерное общество "Управление отходами";RU000A0ZZ2W9;4B02-02-76600-H;2018-04-12
2020-05-08;RU000A0ZZ349;Транснефть ПАО БО-001P-10;Публичное акционерное общество "Транснефть";RU000A0ZZ349;4B02-10-00206-A-001P;2018-04-13
2020-05-08;RU000A0ZZ3U1;Сбербанк ПАО БCО 001P-07R;Публичное акционерное общество "Сбербанк России";RU000A0ZZ3U1;4B020701481B001P;2018-04-27
2020-05-08;RU000A0ZZ4P9;РЖД БО 001Р-06R;Открытое акционерное общество "Российские железные дороги";RU000A0ZZ4P9;4B02-06-65045-D-001P;2018-04-23
2020-05-08;RU000A0ZZ4T1;Россельхозбанк (АО) обл. 01Т1;Акционерное общество "Российский Сельскохозяйственный банк";RU000A0ZZ4T1;42903349B;2018-04-25
2020-05-08;RU000A0ZZ4Z8;Томсккабель ООО об. 01;Общество с ограниченной ответственностью "Томский кабельный завод";RU000A0ZZ4Z8;4-01-16007-R;2018-05-24
2020-05-08;RU000A0ZZ505;Россельхозбанк (АО) обл. 09Т1;Акционерное общество "Российский Сельскохозяйственный банк";RU000A0ZZ505;43703349B;2018-04-26
2020-05-08;RU000A0ZZ547;ГК Пионер БО 001P-03;Акционерное общество "Группа компаний "Пионер";RU000A0ZZ547;4B02-03-67750-H-001P;2018-04-27
2020-05-08;RU000A0ZZ5H3;Почта России (АО) БО-001P-04;акционерное общество "Почта России";RU000A0ZZ5H3;4B02-04-00005-T-001P;2018-05-07
2020-05-08;RU000A0ZZ5J9;Почта России (АО) БО-001P-05;акционерное общество "Почта России";RU000A0ZZ5J9;4B02-05-00005-T-001P;2018-05-07
2020-05-08;RU000A0ZZ5U6;Сбербанк ПАО БCО 001P-10R;Публичное акционерное общество "Сбербанк России";RU000A0ZZ5U6;4B020801481B001P;2018-05-25
2020-05-08;RU000A0ZZ695;Ред Софт ООО БО 001Р-01;Общество с ограниченной ответственностью "Ред Софт";RU000A0ZZ695;4B02-01-00372-R-001P;2018-05-14
2020-05-08;RU000A0ZZ6K5;ИА Металлинвест-2 об. 01;Общество с ограниченной ответственностью "Ипотечный агент Металлинвест-2";RU000A0ZZ6K5;4-01-00386-R;2018-05-17
2020-05-08;RU000A0ZZ7C0;ДОМ.РФ АО 001Р-04R;Акционерное общество "ДОМ.РФ";RU000A0ZZ7C0;4B02-04-00739-A-001P;2018-05-23
2020-05-08;RU000A0ZZ7R8;Дядя Дёнер ООО БО-П01;Общество с ограниченной ответственностью "Дядя Дёнер";RU000A0ZZ7R8;4B02-01-00355-R-001P;2018-05-25
2020-05-08;RU000A0ZZ7U2;Сбербанк ПАО БCО 001P-08R;Публичное акционерное общество "Сбербанк России";RU000A0ZZ7U2;4B020901481B001P;2018-06-08
2020-05-08;RU000A0ZZ877;КАМАЗ ПАО об. БО-10;Публичное акционерное общество "КАМАЗ";RU000A0ZZ877;4-10-55010-D;2018-05-29
2020-05-08;RU000A0ZZ885;КАМАЗ ПАО об. БО-09;Публичное акционерное общество "КАМАЗ";RU000A0ZZ885;4-09-55010-D;2018-05-29
2020-05-08;RU000A0ZZ893;КАМАЗ ПАО об. БО-11;Публичное акционерное общество "КАМАЗ";RU000A0ZZ893;4-11-55010-D;2018-05-29
2020-05-08;RU000A0ZZ8A2;ПЮДМ ООО БО-П01;Общество с ограниченной ответственностью "Первый ювелирный – драгоценные металлы";RU000A0ZZ8A2;4B02-01-00361-R-001P;2018-05-30
2020-05-08;RU000A0ZZ8T2;Запсибкомбанк ПАО БO-П01;Публичное акционерное общество "Западно-Сибирский коммерческий банк";RU000A0ZZ8T2;4B020100918B001P;2018-06-04
2020-05-08;RU000A0ZZ984;ГТЛК БО 001P-10;публичное акционерное общество "Государственная транспортная лизинговая компания";RU000A0ZZ984;4B02-10-32432-H-001P;2018-06-08
2020-05-08;RU000A0ZZ992;Сбербанк ПАО БCО 001P-11R;Публичное акционерное общество "Сбербанк России";RU000A0ZZ992;4B021101481B001P;2018-06-29
2020-05-08;RU000A0ZZ9R4;РЖД БО 001Р-07R;Открытое акционерное общество "Российские железные дороги";RU000A0ZZ9R4;4B02-07-65045-D-001P;2018-06-14
2020-05-08;RU000A0ZZ9W4;Уралкалий ПАО ПБО-04-P;Публичное акционерное общество "Уралкалий";RU000A0ZZ9W4;4B02-04-00296-A-001P;2018-06-15
2020-05-08;RU000A0ZZ9X2;Роял Капитал БО-П01;Общество с ограниченной ответственностью "Роял Капитал";RU000A0ZZ9X2;4B02-01-00382-R-001P;2018-06-15
2020-05-08;RU000A0ZZAE0;Мясничий БО-П01;Общество с ограниченной ответственностью Торговый Дом "Мясничий";RU000A0ZZAE0;4B02-01-00317-R-001P;2018-06-21
2020-05-08;RU000A0ZZAJ9;Сбербанк ПАО БCО 001P-09R;Публичное акционерное общество "Сбербанк России";RU000A0ZZAJ9;4B021001481B001P;2018-07-13
2020-05-08;RU000A0ZZAT8;Пионер-Лизинг БО-П01;Общество с ограниченной ответственностью "Пионер-Лизинг";RU000A0ZZAT8;4B02-01-00331-R-001P;2018-06-26
2020-05-08;RU000A0ZZAW2;ГК ПИК ПАО БО-П06;Публичное акционерное общество "Группа Компаний ПИК";RU000A0ZZAW2;4B02-06-01556-A-001P;2018-06-27
2020-05-08;RU000A0ZZBJ7;ГК ПИК ПАО БО-П07;Публичное акционерное общество "Группа Компаний ПИК";RU000A0ZZBJ7;4B02-07-01556-A-001P;2018-06-29
2020-05-08;RU000A0ZZBN9;Сбербанк ПАО БО 001P-12R;Публичное акционерное общество "Сбербанк России";RU000A0ZZBN9;4B021201481B001P;2018-07-03
2020-05-08;RU000A0ZZBV2;АО ЛК Европлан БО-08;Акционерное общество "Лизинговая компания "Европлан";RU000A0ZZBV2;4B02-08-56453-P;2018-07-03
2020-05-08;RU000A0ZZC22;Томсккабель ООО об. 02;Общество с ограниченной ответственностью "Томский кабельный завод";RU000A0ZZC22;4-02-16007-R;2018-07-05
2020-05-08;RU000A0ZZCH9;ДОМ.РФ Ипотечный агент 05-002P;Общество с ограниченной ответственностью "ДОМ.РФ Ипотечный агент";RU000A0ZZCH9;4-05-00307-R-002P;2018-07-11
2020-05-08;RU000A0ZZCV0;ЛЕГЕНДА БО 001P-01;Общество с ограниченной ответственностью "ЛЕГЕНДА";RU000A0ZZCV0;4B02-01-00368-R-001P;2018-07-12
2020-05-08;RU000A0ZZD39;ЧЗПСН-Профнастил ПАО БО-01;Публичное акционерное общество "Челябинский завод профилированного стального настила";RU000A0ZZD39;4B02-01-45194-D;2018-07-16
2020-05-08;RU000A0ZZD88;Сбербанк ПАО ИОС 001P-14R;Публичное акционерное общество "Сбербанк России";RU000A0ZZD88;4B021401481B001P;2018-07-23
2020-05-08;RU000A0ZZE20;Сбербанк ПАО БО 001P-16R;Публичное акционерное общество "Сбербанк России";RU000A0ZZE20;4B021601481B001P;2018-07-25
2020-05-08;RU000A0ZZE38;Сбербанк ПАО БCО 001P-15R;Публичное акционерное общество "Сбербанк России";RU000A0ZZE38;4B021501481B001P;2018-08-07
2020-05-08;RU000A0ZZE87;МОСКОВСКИЙ КРЕДИТНЫЙ БАНК 15;"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК" (публичное акционерное общество);RU000A0ZZE87;41501978B;2018-07-24
2020-05-08;RU000A0ZZEA0;Солид-Лизинг ООО БО-001-01;Общество с ограниченной ответственностью "Солид-Лизинг";RU000A0ZZEA0;4B02-01-00330-R-001P;2018-07-24
2020-05-08;RU000A0ZZES2;Газпром ПАО БО-22;Публичное акционерное общество "Газпром";RU000A0ZZES2;4B02-22-00028-A;2018-07-31
2020-05-08;RU000A0ZZET0;Газпром ПАО БО-23;Публичное акционерное общество "Газпром";RU000A0ZZET0;4B02-23-00028-A;2018-07-31
2020-05-08;RU000A0ZZEW4;Альфа-Банк БО 002Р-01;АКЦИОНЕРНОЕ ОБЩЕСТВО "АЛЬФА-БАНК";RU000A0ZZEW4;4B020101326B002P;2018-07-31
2020-05-08;RU000A0ZZFC3;Сбербанк ПАО ИОС 001P-17R;Публичное акционерное общество "Сбербанк России";RU000A0ZZFC3;4B021801481B001P;2018-08-21
2020-05-08;RU000A0ZZFH2;Центральная ППК П01-БО-02;Акционерное общество "Центральная пригородная пассажирская компания";RU000A0ZZFH2;4B02-02-11252-A-001P;2018-08-07
2020-05-08;RU000A0ZZFP5;ПР-Лизинг ООО БО 001Р-01;Общество с ограниченной ответственностью "Лизинговая компания Простые решения";RU000A0ZZFP5;4B02-01-00371-R-001P;2018-08-08
2020-05-08;RU000A0ZZG93;СУЭК-Финанс ООО БО 001Р-02R;Общество с ограниченной ответственностью "СУЭК-Финанс";RU000A0ZZG93;4B02-02-36393-R-001P;2018-08-13
2020-05-08;RU000A0ZZGE7;Фольксваген Банк РУС Б 001P-02;Общество с ограниченной ответственностью "Фольксваген Банк РУС";RU000A0ZZGE7;4B020203500B001P;2018-08-15
2020-05-08;RU000A0ZZGT5;РЖД ОАО БО 001Р-08R;Открытое акционерное общество "Российские железные дороги";RU000A0ZZGT5;4B02-08-65045-D-001P;2018-08-16
2020-05-08;RU000A0ZZGZ2;Мясничий БО-П02;Общество с ограниченной ответственностью Торговый Дом "Мясничий";RU000A0ZZGZ2;4B02-02-00317-R-001P;2018-08-20
2020-05-08;RU000A0ZZH84;Банк ВТБ ПАО Б-1-8;Банк ВТБ (публичное акционерное общество);RU000A0ZZH84;4B020801000B001P;2018-08-21
2020-05-08;RU000A0ZZHD7;Сбербанк ПАО ИОС 001P-20R;Публичное акционерное общество "Сбербанк России";RU000A0ZZHD7;4B021901481B001P;2018-08-30
2020-05-08;RU000A0ZZJZ6;ФПК Гарант-Инвест БО 001P-04;Акционерное общество "Коммерческая недвижимость Финансово-промышленной корпорации "Гарант-Инвест";RU000A0ZZJZ6;4B02-04-71794-H-001P;2018-08-29
2020-05-08;RU000A0ZZKP5;Центр-инвест ПАО БО-001P-05;Публичное акционерное общество коммерческий банк "Центр-инвест";RU000A0ZZKP5;4B020502225B001P;2018-09-06
2020-05-08;RU000A0ZZKR1;Сбербанк ПАО ИОС 001P-25R;Публичное акционерное общество "Сбербанк России";RU000A0ZZKR1;4B022101481B001P;2018-09-05
2020-05-08;RU000A0ZZKS9;Сбербанк ПАО ИОС 001P-21R;Публичное акционерное общество "Сбербанк России";RU000A0ZZKS9;4B022001481B001P;2018-09-05
2020-05-08;RU000A0ZZKW1;Диалекс ООО БО-П01;Общество с ограниченной ответственностью "Диалекс";RU000A0ZZKW1;4B02-01-00379-R-001P;2018-09-06
2020-05-08;RU000A0ZZL05;Металлинвестбанк ПАО АКБ БО-03;АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК "МЕТАЛЛУРГИЧЕСКИЙ ИНВЕСТИЦИОННЫЙ БАНК" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО);RU000A0ZZL05;4B020302440B;2018-09-10
2020-05-08;RU000A0ZZL54;Сбербанк ПАО ИОС 001P-22R;Публичное акционерное общество "Сбербанк России";RU000A0ZZL54;4B022201481B001P;2018-09-25
2020-05-08;RU000A0ZZMA3;Сбербанк ПАО ИОС 001P-18R;Публичное акционерное общество "Сбербанк России";RU000A0ZZMA3;4B022301481B001P;2018-09-21
2020-05-08;RU000A0ZZMB1;Сбербанк ПАО ИОС 001P-23R;Публичное акционерное общество "Сбербанк России";RU000A0ZZMB1;4B022401481B001P;2018-09-27
2020-05-08;RU000A0ZZMQ9;Солид-Лизинг ООО БО-001-02;Общество с ограниченной ответственностью "Солид-Лизинг";RU000A0ZZMQ9;4B02-02-00330-R-001P;2018-09-25
2020-05-08;RU000A0ZZNL8;Держава-Платформа БО-01Р-02;Общество с ограниченной ответственностью "Держава-Платформа";RU000A0ZZNL8;4B02-02-00366-R-001P;2018-10-03
2020-05-08;RU000A0ZZNM6;Инвестторгстрой ООО БО-01;Общество с ограниченной ответственностью "Инвестторгстрой";RU000A0ZZNM6;4B02-01-10027-R;2018-10-03
2020-05-08;RU000A0ZZNV7;СК Легион ООО БО-01;Общество с ограниченной ответственностью Специализированный застройщик "СК Легион";RU000A0ZZNV7;4B02-01-00392-R;2018-10-08
2020-05-08;RU000A0ZZNW5;ДОМ.РФ Ипотечный агент 04-002P;Общество с ограниченной ответственностью "ДОМ.РФ Ипотечный агент";RU000A0ZZNW5;4-04-00307-R-002P;2018-10-08
2020-05-08;RU000A0ZZP19;Сбербанк ПАО ИОС 001P-24R;Публичное акционерное общество "Сбербанк России";RU000A0ZZP19;4B022501481B001P;2018-10-08
2020-05-08;RU000A0ZZP27;Сбербанк ПАО БО 001P-29R;Публичное акционерное общество "Сбербанк России";RU000A0ZZP27;4B022701481B001P;2018-10-23
2020-05-08;RU000A0ZZP35;Сбербанк ПАО ИОС 001P-27R;Публичное акционерное общество "Сбербанк России";RU000A0ZZP35;4B022601481B001P;2018-10-08
2020-05-08;RU000A0ZZPE8;Сбербанк ПАО ИОС 001P-30R;Публичное акционерное общество "Сбербанк России";RU000A0ZZPE8;4B022801481B001P;2018-10-25
2020-05-08;RU000A0ZZPZ3;Россельхозбанк АО БО-06Р;Акционерное общество "Российский Сельскохозяйственный банк";RU000A0ZZPZ3;4B020603349B001P;2018-10-19
2020-05-08;RU000A0ZZQ18;Сбербанк ПАО ИОС 001P-33R;Публичное акционерное общество "Сбербанк России";RU000A0ZZQ18;4B023001481B001P;2018-10-19
2020-05-08;RU000A0ZZQ59;Светофор Групп ПАО БО-П01;Публичное акционерное общество "Светофор Групп";RU000A0ZZQ59;4B02-01-24350-J-001P;2018-10-23
2020-05-08;RU000A0ZZQK3;Сбербанк ПАО ИОС 001P-31R;Публичное акционерное общество "Сбербанк России";RU000A0ZZQK3;4B023101481B001P;2018-10-30
2020-05-08;RU000A0ZZQN7;ФСК ЕЭС ПАО БО 001P-01R;Публичное акционерное общество "Федеральная сетевая компания Единой энергетической системы";RU000A0ZZQN7;4B02-01-65018-D-001P;2018-10-25
2020-05-08;RU000A0ZZR90;ДиректЛизинг ООО БО-001P-03;Общество с ограниченной ответственностью "ДиректЛизинг";RU000A0ZZR90;4B02-03-00308-R-001P;2018-10-30
2020-05-08;RU000A0ZZRB0;АЛЬФА-БАНК АО БО 002Р-02;АКЦИОНЕРНОЕ ОБЩЕСТВО "АЛЬФА-БАНК";RU000A0ZZRB0;4B020201326B002P;2018-10-30
2020-05-08;RU000A0ZZRK1;Федерал пассажир комп 001Р-04;Акционерное общество "Федеральная пассажирская компания";RU000A0ZZRK1;4B02-04-55465-E-001P;2018-10-31
2020-05-08;RU000A0ZZRU0;Сбербанк ПАО ИОС 001P-35R;Публичное акционерное общество "Сбербанк России";RU000A0ZZRU0;4B023201481B001P;2018-11-16
2020-05-08;RU000A0ZZRY2;РЖД ОАО БО 001Р-09R;Открытое акционерное общество "Российские железные дороги";RU000A0ZZRY2;4B02-09-65045-D-001P;2018-11-02
2020-05-08;RU000A0ZZRZ9;Трансмашхолдинг АО ПБО-02;акционерное общество "Трансмашхолдинг";RU000A0ZZRZ9;4B02-02-35992-H-001P;2018-11-02
2020-05-08;RU000A0ZZSJ1;Сбербанк ПАО ИОС 001P-36R;Публичное акционерное общество "Сбербанк России";RU000A0ZZSJ1;4B023301481B001P;2018-11-08
2020-05-08;RU000A0ZZT80;Уралкалий ПАО ПБО-05-P;Публичное акционерное общество "Уралкалий";RU000A0ZZT80;4B02-05-00296-A-001P;2018-11-13
2020-05-08;RU000A0ZZTL5;Федерал пассажир комп 001Р-05;Акционерное общество "Федеральная пассажирская компания";RU000A0ZZTL5;4B02-05-55465-E-001P;2018-11-15
2020-05-08;RU000A0ZZTW2;Сбербанк ПАО ИОС 001P-28R;Публичное акционерное общество "Сбербанк России";RU000A0ZZTW2;4B023601481B001P;2018-11-30
2020-05-08;RU000A0ZZUK5;РН БАНК АО БО-001Р-03;Акционерное общество "РН Банк";RU000A0ZZUK5;4B020300170B001P;2018-11-20
2020-05-08;RU000A0ZZUR0;МСБ-Лизинг 002P-01;Общество с ограниченной ответственностью "МСБ-Лизинг";RU000A0ZZUR0;4B02-01-24004-R-001P;2018-11-21
2020-05-08;RU000A0ZZUX8;Сбербанк ПАО ИОС 001P-39R;Публичное акционерное общество "Сбербанк России";RU000A0ZZUX8;4B023801481B001P;2018-11-22
2020-05-08;RU000A0ZZUZ3;ХК Финанс ООО БО 001Р-02;Общество с ограниченной ответственностью "ХК Финанс";RU000A0ZZUZ3;4B02-02-36426-R-001P;2018-11-23
2020-05-08;RU000A0ZZV03;ГрузовичкоФ-Центр ООО БО-П02;Общество с ограниченной ответственностью "ГрузовичкоФ-Центр";RU000A0ZZV03;4B02-02-00337-R-001P;2018-11-23
2020-05-08;RU000A0ZZV11;ГТЛК БО 001P-12;публичное акционерное общество "Государственная транспортная лизинговая компания";RU000A0ZZV11;4B02-12-32432-H-001P;2018-11-23
2020-05-08;RU000A0ZZV52;ЗАО ЛК Роделен БО 001Р-01;Закрытое акционерное общество Лизинговая компания "Роделен";RU000A0ZZV52;4B02-01-19014-J-001P;2018-11-26
2020-05-08;RU000A0ZZV86;ДОМ.РФ Ипотечный агент 06-002P;Общество с ограниченной ответственностью "ДОМ.РФ Ипотечный агент";RU000A0ZZV86;4-06-00307-R-002P;2018-11-26
2020-05-08;RU000A0ZZW51;Сбербанк ПАО ИОС 001P-41R;Публичное акционерное общество "Сбербанк России";RU000A0ZZW51;4B023901481B001P;2018-12-18
2020-05-08;RU000A0ZZW69;Сбербанк ПАО ИОС 001P-42R;Публичное акционерное общество "Сбербанк России";RU000A0ZZW69;4B024001481B001P;2018-12-21
2020-05-08;RU000A0ZZW77;ИА БСПБ 2 ООО об. 01;Общество с ограниченной ответственностью "Ипотечный агент БСПБ 2";RU000A0ZZW77;4-01-00426-R;2018-12-03
2020-05-08;RU000A0ZZWG9;Роял Капитал БО-П02;Общество с ограниченной ответственностью "Роял Капитал";RU000A0ZZWG9;4B02-02-00382-R-001P;2018-12-04
2020-05-08;RU000A0ZZWJ3;ОбъединениеАгроЭлита  БО-П01;Общество с ограниченной ответственностью "ОбъединениеАгроЭлита";RU000A0ZZWJ3;4B02-01-00320-R-001P;2018-12-05
2020-05-08;RU000A0ZZWX4;Сбербанк ПАО ИОС 001P-44R;Публичное акционерное общество "Сбербанк России";RU000A0ZZWX4;4B024101481B001P;2018-12-07
2020-05-08;RU000A0ZZWY2;Сбербанк ПАО ИОС 001P-45R;Публичное акционерное общество "Сбербанк России";RU000A0ZZWY2;4B024201481B001P;2018-12-07
2020-05-08;RU000A0ZZWZ9;Сбербанк ПАО 001P-52R;Публичное акционерное общество "Сбербанк России";RU000A0ZZWZ9;4B024401481B001P;2018-12-13
2020-05-08;RU000A0ZZX19;РЖД ОАО БО 001Р-10R;Открытое акционерное общество "Российские железные дороги";RU000A0ZZX19;4B02-10-65045-D-001P;2018-12-07
2020-05-08;RU000A0ZZX35;ПР-Лизинг ООО БО 001Р-02;Общество с ограниченной ответственностью "Лизинговая компания Простые решения";RU000A0ZZX35;4B02-02-00371-R-001P;2018-12-10
2020-05-08;RU000A0ZZXJ1;ГПБ (АО) БО 002P-03-IMOEX;"Газпромбанк" (Акционерное общество);RU000A0ZZXJ1;4B020300354B002P;2018-12-27
2020-05-08;RU000A0ZZXM5;ГПБ (АО) БО 001Р-03Р;"Газпромбанк" (Акционерное общество);RU000A0ZZXM5;4B020300354B001P;2018-12-13
2020-05-08;RU000A0ZZXP8;Кредит Европа Банк АО 001Р-02;Акционерное общество "Кредит Европа Банк (Россия)";RU000A0ZZXP8;4B020203311B001P;2018-12-12
2020-05-08;RU000A0ZZXT0;ВсеИнструменты.ру ООО БО-01;Общество с ограниченной ответственностью "ВсеИнструменты.ру";RU000A0ZZXT0;4B02-01-00410-R;2018-12-13
2020-05-08;RU000A0ZZY42;Солид-Лизинг ООО БО-001-03;Общество с ограниченной ответственностью "Солид-Лизинг";RU000A0ZZY42;4B02-03-00330-R-001P;2018-12-17
2020-05-08;RU000A0ZZY83;Сбербанк ПАО ИОС 001P-47R;Публичное акционерное общество "Сбербанк России";RU000A0ZZY83;4B024801481B001P;2018-12-28
2020-05-08;RU000A0ZZYF7;АС ФИНАНС ООО БО 001P-01;Общество с ограниченной ответственностью "АС ФИНАНС";RU000A0ZZYF7;4B02-01-00398-R-001P;2018-12-18
2020-05-08;RU000A0ZZYL5;Калужская сбытовая комп 1P 01;Публичное акционерное общество "Калужская сбытовая компания";RU000A0ZZYL5;4B02-01-65057-D-001P;2018-12-17
2020-05-08;RU000A0ZZYP6;ОбъединениеАгроЭлита  БО-П02;Общество с ограниченной ответственностью "ОбъединениеАгроЭлита";RU000A0ZZYP6;4B02-02-00320-R-001P;2018-12-18
2020-05-08;RU000A0ZZYR2;Банк ВТБ (ПАО) Б-1-10;Банк ВТБ (публичное акционерное общество);RU000A0ZZYR2;4B021001000B001P;2018-12-19
2020-05-08;RU000A0ZZYS0;Ресурсосбережение ХМАО об. 01;Общество с ограниченной ответственностью "Ресурсосбережение ХМАО";RU000A0ZZYS0;4-01-00428-R;2018-12-19
2020-05-08;RU000A0ZZZ09;ДОМ.РФ Ипотечный агент 08-002P;Общество с ограниченной ответственностью "ДОМ.РФ Ипотечный агент";RU000A0ZZZ09;4-08-00307-R-002P;2018-12-20
